0 1 147,4482 54,46232 11,42225
0 2 182,7785 26,56505 23,19859
0 3 21,26029 138,0128 135
0 4 15,0333 180 176,6336
0 5 119,0042 89,51854 90
0 6 73,75636 167,0054 166,3287
0 7 128,4134 38,58916 33,69007
1 0 150,3036 -170,1988 -121,0369
1 2 40,24922 64,0256 62,81889
1 3 160,125 -172,875 -170,6553
1 4 164,797 -171,3846 -158,043
1 5 162,5493 162,0956 133,0718
1 6 218,9292 -174,8056 -172,388
1 7 55,15433 135 135
2 0 169,5592 -158,2484 -127,8908
2 1 42,94182 -117,7585 -116,565
2 3 189,7367 -161,565 -161,565
2 4 195,6579 -156,1862 -156,0375
2 5 162,314 179,0123 129,8724
2 6 246,6617 -165,6821 -165,9637
2 7 58,03447 -178,025 180
3 0 26,87006 -45 -45
3 1 160,3808 7,523814 7,124997
3 2 183,4394 18,24269 17,65012
3 4 22,09072 -83,65981 -99,46233
3 5 96,0094 54,77855 84,88719
3 6 55,22681 -179,029 -175,9144
3 7 122,0901 26,37214 26,98023
4 0 15,0333 6,340226 -3,366448
4 1 157,6896 14,45939 10,17552
4 2 193,5459 23,81382 23,27581
4 3 15,0333 90 86,63354
4 5 108,6165 73,92599 84,91795
4 6 58,94065 162,7585 163,9264
4 7 135,4843 33,57881 31,25095
5 0 117,0043 -90,48146 -89,02898
5 1 165,0184 -51,84278 -22,79605
5 2 173,4835 -51,84278 -2,305881
5 3 105,0049 -94,71091 -112,2595
5 4 121,1048 -91,80873 -104,3482
5 6 149,9061 -89,34146 -159,4626
5 7 110,5795 -35,14976 -5,110673
6 0 72,69112 -14,38138 -7,696028
6 1 218,9292 5,194446 7,611952
6 2 243,0021 13,8669 16,6543
6 3 56,56854 -0,9709598 8,97264
6 4 58,0517 -18,43495 -10,92279
6 5 149,6627 20,04616 85,14253
6 7 187,2111 18,04782 18,43496
7 0 125,9111 -143,2048 -141,0255
7 1 52,40229 -43,5312 -43,49257
7 2 54,91812 -1,974966 12,09476
7 3 127,6323 -153,435 -156,4477
7 4 141,7392 -146,3099 -147,0948
7 5 112,0119 -170,1266 133,0466
7 6 182,4281 -161,565 -164,7449
